#Table1
ra,dec,z
186.72758,-0.87755874,0.007084649
187.30852,-1.3560158,0.007092588
225.31389,1.4981922,0.007136032
225.41089,1.8701872,0.007179188
227.69682,-0.34833315,0.007202491
182.83133,1.4982242,0.007302126
186.76864,-0.90569574,0.007346148
187.38655,0.83964062,0.007515972
226.67516,0.63439084,0.007539621
188.62759,1.0115073,0.007539892
187.44266,-1.2950821,0.007539904
193.71301,-1.3642841,0.007574753
225.40996,1.7221821,0.007636942
226.52807,1.3224747,0.007668398
226.36977,1.2925571,0.007684317
183.06137,0.072311613,0.007831382
225.24731,1.6491904,0.007867387
160.73099,-0.14028242,0.007884246
226.26866,1.9641746,0.00796431
187.4952,0.027217958,0.008045804
185.79147,0.42706165,0.008075255
214.83397,1.1652606,0.0081429
186.57394,1.7417686,0.008195798
134.67085,2.1931181,0.008234216
188.5086,1.7654865,0.008275687
170.82587,-0.9224747,0.008394149
134.16946,0.37502751,0.008397252
226.78195,1.5445475,0.008488716
189.2168,-0.589419,0.008531255
226.78006,1.544293,0.008539425
189.21614,-0.58767769,0.008552541
190.82619,-0.6427901,0.008592833
170.8297,-0.92261307,0.008728048
190.96212,-0.56121756,0.008742236
170.93679,-0.8364448,0.008761186
216.28745,-1.113478,0.008818436
134.01268,-0.4897197,0.008983347
194.25135,1.0285675,0.009237488
191.58742,-1.2500869,0.009271441
194.65019,1.7067343,0.009367337
194.27943,-0.8076305,0.009409807
193.90664,-0.20625129,0.009744871
181.05224,0.80257168,0.009787623
193.99222,-1.3493198,0.009917573
234.86989,0.94340405,0.009943311
235.19519,2.3600973,0.009965534
189.87235,0.28516597,0.009966521
234.0645,-0.34940493,0.01000118
198.89888,0.49220969,0.01016492
130.48618,-0.060011778,0.01016996
189.97961,-0.13871907,0.01017225
190.78982,-1.2095821,0.01024314
177.02241,0.99136246,0.01032394
190.73857,-1.2294179,0.01072071
202.35512,-0.39904381,0.01079305
133.13101,0.85358085,0.01084987
203.12818,1.8477112,0.01090969
178.54871,-1.1317642,0.01095892
202.91926,1.8000533,0.01110682
146.04543,0.17980546,0.01112419
134.49949,-0.41003462,0.01115476
134.94341,0.58294263,0.01117178
210.09127,-1.3542345,0.01119371
204.34155,2.3308032,0.01127273
190.30172,-0.75681387,0.01129932
134.81541,0.39164031,0.01138677
144.05237,1.4731131,0.01140575
210.17899,-0.50570135,0.01155612
210.17969,-0.50651462,0.0115955
205.16848,2.3921401,0.01168376
235.12208,0.91039088,0.01172402
148.17263,2.1328171,0.01176697
235.64293,2.0143649,0.01182045
140.15478,-0.68082544,0.01185283
140.81936,-0.7309281,0.01193792
203.22131,-1.2586517,0.01195579
210.1908,2.0219894,0.01199003
152.82447,0.44239733,0.0120204
204.58628,-0.20538456,0.01203844
236.56954,2.4144666,0.01213325
140.16774,2.4519963,0.01215738
236.56927,2.4133539,0.01227787
203.27226,-1.035819,0.01234626
205.13242,0.0063031447,0.01237381
204.60866,-0.22762131,0.01239225
146.75313,2.0739911,0.01241416
189.12711,0.2211941,0.01242487
203.11233,-1.3700972,0.01245754
189.18628,0.56337807,0.012473
190.50287,0.753949,0.01248332
138.26593,2.0207065,0.01250441
189.52228,-0.027016383,0.01251297
235.07707,-0.81251353,0.0125234
138.26844,2.0388583,0.01253914
148.33426,0.69772982,0.01255482
203.56503,-0.28818294,0.01255896
190.07571,-0.18507287,0.01255981
204.08863,-0.460621,0.0125614
148.64447,1.1140558,0.01258564
203.64812,-0.35324483,0.01263841
204.68937,-0.41691576,0.01267416
149.70765,0.83669177,0.0126812
144.10962,-0.57136802,0.01268636
203.22969,-1.1594902,0.0126869
136.21096,0.74338173,0.01268879
134.07802,-0.44150027,0.01269793
137.45651,2.4719412,0.01273979
135.78086,0.85818698,0.0127589
197.85979,-0.24973076,0.01277295
236.25147,2.4680138,0.01278918
205.95126,1.3723694,0.0128019
167.35544,-0.097731256,0.01281893
236.30994,0.77222095,0.01281919
208.83193,1.4881147,0.01286374
167.57363,-0.26400807,0.01287338
167.2324,0.44480423,0.01290247
208.83124,1.4892896,0.01295211
236.55612,2.4528556,0.0130014
176.53216,-0.45802681,0.01305978
134.83678,0.86173166,0.0131003
134.82996,0.79775446,0.01311676
130.81631,1.4840915,0.01312118
148.33551,0.62868702,0.01312433
176.3596,0.004063787,0.01313747
129.2472,1.7920371,0.01316526
131.66885,2.4080189,0.01324594
168.04433,-0.97923426,0.01326556
167.89396,1.7499331,0.01334291
131.2148,1.1556085,0.01338051
166.2507,0.88517419,0.01342926
130.98705,1.5842666,0.01344077
189.51236,0.17706989,0.01349002
192.82139,0.52052388,0.01354416
236.4413,2.409853,0.01355872
202.33871,-0.94422021,0.01362438
173.80681,1.6726589,0.01363992
236.43947,2.4094384,0.01370877
131.27024,1.4013172,0.01371341
216.4434,-0.83669949,0.01375247
218.31595,-1.1400858,0.01377825
201.87955,0.73906128,0.0137976
200.66117,-0.28191249,0.01388197
235.9338,-0.2382895,0.01389303
238.5085,2.3162531,0.01389543
218.69062,0.88865081,0.01400038
219.3747,-1.1420383,0.01405114
188.52118,2.1466435,0.0141347
173.27532,1.4913367,0.01425067
208.20023,1.9634736,0.01436298
131.10373,0.34283209,0.01445905
208.20877,2.2638104,0.01459038
208.25365,2.262237,0.01460306
208.73618,2.0957065,0.01460503
236.64568,-0.90629136,0.01467948
208.8103,1.907755,0.01476158
189.97981,-0.79969285,0.01482438
204.80526,-1.1209655,0.01482851
188.71667,1.8832034,0.01488493
160.68677,0.1490686,0.01494482
161.18141,-0.19443681,0.01497729
154.17136,2.0746514,0.01498001
236.80374,-0.99602017,0.01498329
208.42469,0.12158571,0.01498338
208.15357,0.022485219,0.01501523
203.98747,-1.3682693,0.01509233
157.23847,2.185771,0.01518919
208.1104,-1.2736484,0.01522106
208.18381,0.80269549,0.01524076
205.1501,2.0842728,0.01540653
181.19339,2.0052349,0.01551385
171.98727,1.2994712,0.01565019
190.1817,0.79784785,0.01576504
143.54363,0.25797239,0.01580816
190.08397,1.2733173,0.01582721
190.40032,-0.11837712,0.01588324
243.45346,0.53140733,0.0159473
189.94066,0.89823766,0.01595755
190.33987,0.22092287,0.01601931
190.27275,-0.083165147,0.01605873
143.5434,0.24119969,0.01612709
181.36636,1.8613957,0.01612998
161.97756,0.81251961,0.01619722
162.19933,-0.34604594,0.01620855
144.16843,0.40746022,0.01622156
144.16537,0.40911746,0.01624985
144.11121,1.1913609,0.01629058
143.50156,2.4772922,0.01631514
189.59226,1.6791759,0.01632787
140.29293,1.4727391,0.01633252
134.82399,0.69013911,0.01634038
144.91638,-0.23532371,0.01634982
143.6542,0.046074161,0.01636972
181.02495,1.8469938,0.01637794
161.34483,1.1244331,0.01640346
137.22653,1.4325581,0.01640724
144.14736,1.1166195,0.01643237
202.34006,-0.77973284,0.01644879
244.14094,-0.58887094,0.01646426
161.32074,1.4678018,0.01649444
139.92559,1.3258064,0.01649534
202.4862,-0.61371148,0.01652177
148.84656,0.87886816,0.01657376
139.37082,-0.62057324,0.0165755
244.9919,-1.1747438,0.01660133
137.43954,1.7940093,0.01660349
244.49182,-0.47056697,0.01660742
143.64388,0.089198168,0.01662895
140.14319,1.5511205,0.0166349
206.60031,1.5787806,0.0166361
148.12364,2.1544527,0.01664601
172.4486,1.1388267,0.01665202
172.44999,1.1377897,0.01665464
190.66967,1.3458014,0.0167145
140.12501,1.848748,0.01673177
148.11183,2.278922,0.01675018
158.93193,0.0085622256,0.01676873
139.39555,-0.58265432,0.01677898
165.70994,-0.36423866,0.01682579
159.02905,-0.38294346,0.01683272
139.33882,-0.45419223,0.01685102
139.17576,0.20558012,0.01686122
189.61986,1.7543449,0.01686655
148.10435,2.1809826,0.01687406
140.9021,2.1364906,0.01691265
141.68636,1.1542741,0.01693779
189.79746,0.71748173,0.01695743
172.73647,2.287064,0.01702557
140.00904,1.0382744,0.01702636
196.87879,2.3270636,0.01702645
162.90644,2.095039,0.01704137
189.40211,1.58889,0.01705606
201.67172,-0.62189954,0.01705948
139.36395,-0.61712402,0.01705999
166.41473,-0.40002513,0.01707291
149.91735,0.0442241,0.01708713
139.56851,0.38504056,0.01709514
189.51211,2.0596017,0.01711838
139.93488,0.91345286,0.01714989
173.60214,1.1542757,0.01715009
164.82973,0.30245108,0.01716967
141.35235,2.0637229,0.0171703
181.04058,1.8259765,0.01717741
202.55983,-0.029699666,0.01719038
205.4952,2.3123659,0.01719408
141.29442,1.6538648,0.0171967
140.13867,0.72103695,0.01719962
197.26515,-0.76600392,0.01720522
140.78383,2.4861095,0.0172151
140.80513,2.0601931,0.0172364
165.6387,-0.29101036,0.01724125
201.6686,-0.62215249,0.01724301
213.12768,-1.4059701,0.01725266
180.67788,1.9522242,0.01726192
181.12279,1.9400012,0.01726595
246.25252,0.4408274,0.01726725
191.49062,1.2980463,0.01728755
139.99872,0.93093142,0.01728808
202.12022,-0.11112945,0.01730313
141.48566,-0.084929778,0.01734795
189.64968,1.4022846,0.01735859
202.15632,-0.06669949,0.01738028
192.91112,1.6708539,0.01740832
203.8523,1.4105577,0.01745353
140.15507,0.82270888,0.01745528
213.07914,-0.12267755,0.01745718
197.0997,-0.48171662,0.01745841
140.73722,1.4339849,0.01746028
139.75688,0.17258277,0.01746398
139.46166,-0.27843943,0.01747737
141.61754,2.3003306,0.0174808
140.06505,1.2888157,0.01748733
175.34227,0.12742299,0.01751967
196.96187,-0.27866508,0.01753283
191.31821,2.4490771,0.01756368
168.56178,-0.71662571,0.01756477
139.7763,0.67766006,0.01757203
203.38658,1.3068427,0.0175924
197.07373,-0.85326815,0.01760112
139.97995,0.94511893,0.01764133
213.16622,1.7549377,0.01767147
196.96131,-0.86774656,0.01768984
212.94107,1.947334,0.01775141
203.38846,1.3058086,0.01776528
197.41256,-0.88969379,0.01778415
213.20537,1.4892081,0.01779332
140.09158,0.82336844,0.0178251
173.91164,1.3575328,0.01784546
197.97428,-0.85813326,0.01786385
180.67877,1.5261067,0.01789175
134.0095,1.883466,0.01792556
197.2088,-0.81730439,0.01794305
202.44846,0.51062598,0.01795977
